Name,Date,Info,Location,RSVP link
Don’t use 4th floor rooms,"September 17, 2025 8:00 (GMT+3) → 17:00",,,
Use with caution,"September 18, 2025 8:00 (GMT+3) → 17:00",,,
World Cleanup Day,"September 19, 2025 15:00 (GMT+3) → 17:00","Let’s participate this years World Cleanup Day! This years focus is educational instutional building surroundings so let’s get together and do some good for community!
We’ll start at 15:00 and clean about 1-2 hours, then we’ll have pizza and sodas at our campus. Join!
PS! Please let me know, if you are coming in Discord or write me an email!","Keskväljak 15, Paide linn, Järvamaa (our campus)",
Closed,"October 19, 2025 10:00 (GMT+3) → 14:00",,Campus floor,
Closed,"October 26, 2025 10:00 (GMT+2) → 14:00",,,
Closed,"November 2, 2025 10:00 (GMT+2) → 14:00",,,
Closed,"November 9, 2025 10:00 (GMT+2) → 14:00",,,
Closed,"November 16, 2025 10:00 (GMT+2) → 14:00",Feel free to use 2nd floor coWork space.,,
Board games & snacks,"October 10, 2025 15:00 (GMT+3)",Please let me know if you are coming!,kood/Järva campus IV floor,https://forms.gle/dGEpBuoTtfVMD8UHA
Soccer: Paide vs. Tartu,"October 18, 2025 12:30 (GMT+3)",We will go at watch soccer game between Paide Linnameeskond vs. Tartu Tammeka!,Paide Kunstmurustaadion - https://maps.app.goo.gl/NKZbwETrzTGd66g88,https://forms.gle/hQLJguNvgNEaCiBV8
Soccer: Paide vs. FC Flora,"October 26, 2025 14:30 (GMT+2)",Let’s go together and support Paide Linnameeskond at a match vs. FC Flora.,Paide Kunstmurustaadion,https://forms.gle/VtKwav8rRQj8ppMG8
kood/Järva grand opening,"November 27, 2025 15:00 (GMT+2)",Grand opening info will come soon,kood/Järva campus 3rd floor!,
Closed,"October 16, 2025 17:00 (GMT+3) → 20:00",,,
kood/Women x Womente,"October 13, 2025 13:00 (GMT+3) → 16:00",,Campus 4th floor,
Closed,"October 2, 2025 9:00 (GMT+3) → 18:00",,,
Closed,"October 11, 2025 11:00 (GMT+3) → 16:00",,,
Last day of studies for B7,"December 13, 2026",,,
Closed,"October 16, 2025 7:00 (GMT+3) → 17:00",,,
kood/Jam,"November 20, 2025 → November 21, 2025",,kood/Jõhvi campus,https://fienta.com/et/kood-jam
kood/Nooremarendaja Selection Sprint,"December 1, 2025 → December 12, 2025",,kood/Järva campus,https://forms.monday.com/forms/35e5b16eae1237c289b69e06fc5dcc89?r=euc1
[on-site] Selection Sprint 18,"January 12, 2026 → January 23, 2026","Campus is open for everyone, don’t hesitate to come!",kood/Järva campus,https://kood.tech/sisseastujale/kuidas-kandideerida/
Closed for moving,"November 15, 2025",We are moving all the tables etc. to 3rd floor!,,
kood/Järva campus is closed due to moving,"November 17, 2025 → November 23, 2025","We are moving all our furniture to our OWN CAMPUS FLOOR! So due to that awesome reason we are closed during this time. You can still come, but use coWork Paide tables on 2nd floor.",,
kood/Empower,"May 5, 2026 → May 8, 2026",kood/Empower bootcamp for Women!,"Keskväljak 15, 4th floor seminar",
kood/JobFair,"March 27, 2026",Make sure you take part of it!,kood/Jõhvi,
kood/Jam,"May 21, 2026 → May 22, 2026",,kood/Järva,
[on-site] Selection Sprint 19,"June 1, 2026 → June 12, 2026",,kood/Järva,
[on-site] Selection Sprint 21,"July 20, 2026 → July 31, 2026",,kood/Järva,
kood/Jam,"August 27, 2026 → August 27, 2026",Join for the very next kood/Jam at Võru learning center!,kood/Võru,
Start of Batch 9,"September 11, 2026",,kood/Järva,
Start of Batch 8,"March 13, 2026 13:00 (GMT+2) → 17:00",,kood/Järva,
Constructions at kood/Järva,"February 16, 2026 → March 12, 2026","Second part of construction going on our floor, which means that everything is dusty and messy. Stay at home! Clean up has been orderd for 11 of March and after that we are open again and much less noise coming from construction site.",,
[off-site] Selection Sprint 19,"June 13, 2026 → June 19, 2026",,,
[off-site] Selection Sprint 21,"August 1, 2026 → August 6, 2026",,,
"Constructions continue, BUT ..","March 16, 2026 → May 31, 2026","Room on the 3rd floor is CLOSED! If you are planning to come to Paide, then use 2nd floor coWork Paide space. Info is on Discord and on your email. 

If you have questions, feel free to reach out community manager Kaspar.",,
Closed [private event],"March 21, 2026",Learning Center is closed due to private event.,,
Closed [private event],"April 3, 2026",Learning Center is closed due to private event,,
Booked [private event],"May 19, 2026 12:00 (GMT+3) → 17:00",,,
B7 & B8 event [tbd],"May 14, 2026",,,
B7 & B8 event [tbd],"May 15, 2026",,,
Avatud uste päev!,"May 29, 2026",Avatud Tehaste Päeva raames teeme kaks tuuri avatud uksi kõigile! Registreerimine ja info tuleb peagi!,,
StartUp Estonia regionaalarengu grupi külaskäik [private event],"May 25, 2026",,,
[on site] Selection Sprint 21,"August 7, 2026",,,
Paide home cafe’s day,"August 15, 2026",We will be hosting a cafe at our campus. Come join!,,
Opinion Festival,"August 7, 2026",//kood is hosting 3 discussions at stage number 32 “Tuleviku oskused”,Paide Vallimägi and city center,
kood/Empower,"October 20, 2026 → October 23, 2026",,kood/Järva learning center,
kood/Jam,"November 19, 2026",,kood/Jõhvi learning center,
