Name,Date,Tags,Tags (1)
LEEN projekti külastus 12.00 - 14.00,"November 11, 2025",,
LEEN projekti külastus 12.15-14.15,"November 13, 2025",,
kood/Võru arenguprogramm,"November 14, 2025",,
Talendijuht Võrus,"November 17, 2025",,
Team day in kood/Võru,"November 18, 2025",,
LEEN projekt 10.00-12.00,"November 19, 2025",,
LEEN projekt 10.00-12.00,"November 20, 2025",,
Networking lunch for entrepreneurs,"November 20, 2025",,
Haridusfest Väimelas,"November 21, 2025",,
Preparations for the Entrepreneurship Awards,"November 26, 2025",,
Preparations for the Entrepreneurship Awards,"November 27, 2025",,
Entrepreneurship programme training,"November 26, 2025",,
Entrepreneurship programme training,"November 27, 2025",,
kood/JAM,"November 20, 2025 → November 21, 2025",,
Office hours 15.30-16.30,"November 11, 2025",,
Office Hours 15.30-16.30,"November 18, 2025",,
Office Hours 15.30-16.30,"November 25, 2025",,
Office Hours 15.30-16.30,"December 2, 2025",,
HARNO sprint,"December 1, 2025 → December 12, 2025",,
Gymnasium students on spot,"November 24, 2025 → November 28, 2025",,
Christmas Party 16.00,"December 22, 2025",,
Christmas,"December 24, 2025 → December 26, 2025",,
Selection Sprint,"January 12, 2026 → January 24, 2026",,
HEF winterschool,"January 8, 2026 → January 9, 2026",,
kood/Võru // Development Program for IT Entrepreneurs // 5th training day with Kalev Kaarna,"January 15, 2026",,
Võrumaa vabathtlike tunnustamisüritus kood/Võru,"January 23, 2026",,
EWERS õpilased tutvumispäev,"January 27, 2026",,
" // Development Program for IT Entrepreneurs // 6th training day with Indrek Maripuu","January 29, 2026",,
Võru Gymnasium students @kood/Võru,"March 2, 2026 → March 7, 2026",,
Career day at Kanepi,"March 3, 2026",,
B8 opening event at Paide,"March 13, 2026",,
kood/Job fair at Jõhvi,"March 27, 2026",,
Barruse ruumis koosolek,"March 5, 2026 → March 6, 2026",,
Häkaton,"March 7, 2026 → March 8, 2026",,
Career day at Räpina,"March 10, 2026",,
Visitors at kood/Võru,"March 10, 2026",,
Arenguprogrammi 1. koolituspäev,"March 20, 2026",,
Võru kiirabi õppus 4. korrusel,"March 24, 2026",,
Euroopa komisjoni Eesti esindus kood/Võru,"March 26, 2026",,
Founder2Founder: JobFair pre-party,"March 26, 2026",,
Sotsiaal- ja tervishoiu tunnustussündmus,"March 25, 2026",,
Meet&Greet,"April 10, 2026",,
"Developers programm ","April 22, 2026",,
Office Hours,"April 28, 2026 3:30 PM (GMT+3)",,
//kood @ Lõunakeskus,"May 2, 2026 11:00 AM (GMT+3)",,
"Startup Estonia regional team @ kood/Võru ","April 27, 2026",,
Latvian visitors,"April 29, 2026 9:00 AM (GMT+3)",,
Majandus- ja kommunikatsiooniministeerium,"April 29, 2026 2:00 PM (GMT+3)",,
Ingrid @ Jõhvi,"April 30, 2026",,
Developers program,"May 7, 2026",,
Ingrid’s vacation,"May 11, 2026 → May 24, 2026",,
"kood/Jam @ Paide ","May 21, 2026 → May 22, 2026",,
"Visitors from Lääne-Virumaa ","May 25, 2026 1:00 PM (GMT+3)",,
Nuti-Võlur programmeerimise võistlus kood/Võru ruumides,"May 26, 2026",,
"Developers program ","May 27, 2026",,
SEB x kood Tartus event,"May 28, 2026",,
"Edukate ja ettevõtlike noorte tunnustussündmus ","June 22, 2026",,
Selection Sprint 21 on-spot,"July 20, 2026 → August 2, 2026",,
kood/jam @kood/Võru,"August 27, 2026",,
